wday,age,school,industry,employment,start,end,n,count
1,20,-1,-1,0,0,10,0.06265773469600046,2
1,20,-1,-1,0,0,11,0.06241603661485104,3
1,20,-1,-1,0,0,12,0.03873947932065457,1
1,20,-1,-1,0,0,13.5,0.1443550342282996,2
1,20,-1,-1,0,0.5,1.5,0.01756100135209806,1
1,20,-1,-1,0,0.5,5,0.03761342229396495,1
1,20,-1,-1,0,0.5,6,0.06273575499707106,1
1,20,-1,-1,0,0.5,7,0.15061105734856894,4
1,20,-1,-1,0,0.5,9,0.07185325435575486,1
1,20,-1,-1,0,0.5,10,0.047478854486472113,1
1,20,-1,-1,0,0.5,11,0.1117770141551508,2
1,20,-1,-1,0,0.5,12,0.059932261497363616,1
1,20,-1,-1,0,0.5,13,0.021862468584804628,1
1,20,-1,-1,0,1,3,0.01279798451671367,1
1,20,-1,-1,0,1,4.5,0.08750682857545254,2
1,20,-1,-1,0,1,6,0.027768749803855595,1
1,20,-1,-1,0,1,8,0.04376891476825871,2
1,20,-1,-1,0,1,9,0.3987195318156744,6
1,20,-1,-1,0,1,10,0.337314017116382,5
1,20,-1,-1,0,1,10.5,0.06412482417743519,1
1,20,-1,-1,0,1,11,0.023003464427555635,1
1,20,-1,-1,0,1,11.5,0.05901221132770801,2
1,20,-1,-1,0,1,12,0.12455123369982932,2
1,20,-1,-1,0,1.5,4,0.054359448498557915,2
1,20,-1,-1,0,1.5,7,0.019060397482134284,1
1,20,-1,-1,0,1.5,8,0.03420063955266011,1
1,20,-1,-1,0,1.5,9,0.04107922032586264,1
1,20,-1,-1,0,1.5,10,0.18892350390131255,2
1,20,-1,-1,0,1.5,10.5,0.011482544442464597,1
1,20,-1,-1,0,1.5,12.5,0.02689083905821689,1
1,20,-1,-1,0,1.5,13,0.028680798078384577,1
1,20,-1,-1,0,2,5,0.02715425969514307,1
1,20,-1,-1,0,2,7.5,0.08394710127870013,2
1,20,-1,-1,0,2,8,0.11217662019044909,2
1,20,-1,-1,0,2,8.5,0.02460654965442418,1
1,20,-1,-1,0,2,9,0.029299489729114364,1
1,20,-1,-1,0,2,9.5,0.10722685356560982,1
1,20,-1,-1,0,2,10,0.08826155973767884,1
1,20,-1,-1,0,2,10.5,0.1466163099774665,1
1,20,-1,-1,0,2,11,0.028095302986197446,1
1,20,-1,-1,0,2.5,5,0.025044283224660388,1
1,20,-1,-1,0,2.5,7,0.0374682940301186,1
1,20,-1,-1,0,2.5,8,0.06107149940326365,1
1,20,-1,-1,0,2.5,10.5,0.028283110455500422,1
1,20,-1,-1,0,3,5.5,0.01965479167373298,1
1,20,-1,-1,0,3,7.5,0.04685386052271643,1
1,20,-1,-1,0,3,10.5,0.046574983171320486,1
1,20,-1,-1,0,3,11,0.02754218748604962,1
1,20,-1,-1,0,3,12,0.07367287217773191,1
1,20,-1,-1,0,3.5,4,0.005568942619996048,1
1,20,-1,-1,0,3.5,6.5,0.012594056547656952,1
1,20,-1,-1,0,3.5,11.5,0.19694728205928336,1
1,20,-1,-1,0,4,8,0.07004602232951619,2
1,20,-1,-1,0,4.5,12,0.04697496851249533,1
1,20,-1,-1,0,4.5,12.5,0.09336760038366025,1
1,20,-1,-1,0,5,7,0.08433533543204544,2
1,20,-1,-1,0,5,8,0.01940505522573803,1
1,20,-1,-1,0,5.5,11,0.050131056001839126,1
1,20,-1,-1,0,5.5,12,0.11154806658692878,2
1,20,-1,-1,0,5.5,13.5,0.02204757714690901,1
1,20,-1,-1,0,6,15,0.01279798451671367,1
1,20,-1,-1,0,6.5,9,0.07244160883070373,1
1,20,-1,-1,0,7.5,13,0.04817884159862971,1
1,20,-1,-1,0,7.5,20.5,0.0473457691842065,1
1,20,-1,-1,0,8.5,10,0.0288776943000374,1
1,20,-1,-1,0,9.5,11,0.03819729074748915,1
1,20,-1,-1,0,9.5,12,0.07230728348999553,1
1,20,-1,-1,0,10,11.5,0.013046874820830145,1
1,20,-1,-1,0,10,12,0.054233854487354335,1
1,20,-1,-1,0,10.5,12,0.03561819314548503,1
1,20,-1,-1,0,10.5,13.5,0.02715425969514307,1
1,20,-1,-1,0,11,14,0.017806616495857325,1
1,20,-1,-1,0,11,19,0.039286511338089906,1
1,20,-1,-1,0,11.5,12,0.012594056547656952,1
1,20,-1,-1,0,11.5,14,0.04631706976394818,1
1,20,-1,-1,0,11.5,15,0.0206385068759002,1
1,20,-1,-1,0,11.5,17.5,0.03194244931091215,1
1,20,-1,-1,0,12,13.5,0.03167556386069048,1
1,20,-1,-1,0,12,14,0.03173537018534248,1
1,20,-1,-1,0,12,14.5,0.03628440744594135,1
1,20,-1,-1,0,12,16.5,0.08023778157970803,1
1,20,-1,-1,0,12,17,0.054233854487354335,1
1,20,-1,-1,0,12,18,0.019189835612509913,1
